id;code;description
7235;5-385.bb;Entfernung und Verschluss von Varizen: Endoluminale Radiofrequenzablation: V(v). saphena(e) accessoria(e)
7236;5-385.bc;Entfernung und Verschluss von Varizen: Endoluminale Radiofrequenzablation: Vv. perforantes
7237;5-385.bx;Entfernung und Verschluss von Varizen: Endoluminale Radiofrequenzablation: Sonstige
7238;5-385.c;Entfernung und Verschluss von Varizen: Endoluminale Rotationsablation mit gleichzeitiger Sklerosierung
7239;5-385.c0;Entfernung und Verschluss von Varizen: Endoluminale Rotationsablation mit gleichzeitiger Sklerosierung: V. saphena magna
7240;5-385.c4;Entfernung und Verschluss von Varizen: Endoluminale Rotationsablation mit gleichzeitiger Sklerosierung: Vv. saphenae magna et parva
7241;5-385.c8;Entfernung und Verschluss von Varizen: Endoluminale Rotationsablation mit gleichzeitiger Sklerosierung: Vv. saphenae magna et accessoria(e)
7242;5-385.c9;Entfernung und Verschluss von Varizen: Endoluminale Rotationsablation mit gleichzeitiger Sklerosierung: Vv. saphenae magna et accessoria(e) et parva
7243;5-385.ca;Entfernung und Verschluss von Varizen: Endoluminale Rotationsablation mit gleichzeitiger Sklerosierung: V. saphena parva
7244;5-385.cb;Entfernung und Verschluss von Varizen: Endoluminale Rotationsablation mit gleichzeitiger Sklerosierung: V(v). saphena(e) accessoria(e)
7245;5-385.cc;Entfernung und Verschluss von Varizen: Endoluminale Rotationsablation mit gleichzeitiger Sklerosierung: Vv. perforantes
7246;5-385.cx;Entfernung und Verschluss von Varizen: Endoluminale Rotationsablation mit gleichzeitiger Sklerosierung: Sonstige
7247;5-385.d;Entfernung und Verschluss von Varizen: (Isolierte) Rezidivcrossektomie
7248;5-385.d0;Entfernung und Verschluss von Varizen: (Isolierte) Rezidivcrossektomie: V. saphena magna
7249;5-385.d4;Entfernung und Verschluss von Varizen: (Isolierte) Rezidivcrossektomie: Vv. saphenae magna et parva
7250;5-385.d8;Entfernung und Verschluss von Varizen: (Isolierte) Rezidivcrossektomie: Vv. saphenae magna et accessoria(e)
7251;5-385.d9;Entfernung und Verschluss von Varizen: (Isolierte) Rezidivcrossektomie: Vv. saphenae magna et accessoria(e) et parva
7252;5-385.da;Entfernung und Verschluss von Varizen: (Isolierte) Rezidivcrossektomie: V. saphena parva
7253;5-385.db;Entfernung und Verschluss von Varizen: (Isolierte) Rezidivcrossektomie: V(v). saphena(e) accessoria(e)
7254;5-385.dx;Entfernung und Verschluss von Varizen: (Isolierte) Rezidivcrossektomie: Sonstige
7255;5-385.e;Entfernung und Verschluss von Varizen: Venenokklusion durch Venenkleber
7256;5-385.e0;Entfernung und Verschluss von Varizen: Venenokklusion durch Venenkleber: V. saphena magna
7257;5-385.e4;Entfernung und Verschluss von Varizen: Venenokklusion durch Venenkleber: Vv. saphenae magna et parva
7258;5-385.e8;Entfernung und Verschluss von Varizen: Venenokklusion durch Venenkleber: Vv. saphenae magna et accessoria(e)
7259;5-385.e9;Entfernung und Verschluss von Varizen: Venenokklusion durch Venenkleber: Vv. saphenae magna et accessoria(e) et parva
7260;5-385.ea;Entfernung und Verschluss von Varizen: Venenokklusion durch Venenkleber: V. saphena parva
7261;5-385.eb;Entfernung und Verschluss von Varizen: Venenokklusion durch Venenkleber: V(v). saphena(e) accessoria(e)
7262;5-385.ec;Entfernung und Verschluss von Varizen: Venenokklusion durch Venenkleber: Vv. perforantes
7263;5-385.ex;Entfernung und Verschluss von Varizen: Venenokklusion durch Venenkleber: Sonstige
7264;5-385.f;Entfernung und Verschluss von Varizen: Duplexsonographische Schaumsklerosierung
7265;5-385.f0;Entfernung und Verschluss von Varizen: Duplexsonographische Schaumsklerosierung: V. saphena magna
7266;5-385.f4;Entfernung und Verschluss von Varizen: Duplexsonographische Schaumsklerosierung: Vv. saphenae magna et parva
7267;5-385.f8;Entfernung und Verschluss von Varizen: Duplexsonographische Schaumsklerosierung: Vv. saphenae magna et accessoria(e)
7268;5-385.f9;Entfernung und Verschluss von Varizen: Duplexsonographische Schaumsklerosierung: Vv. saphenae magna et accessoria(e) et parva
7269;5-385.fa;Entfernung und Verschluss von Varizen: Duplexsonographische Schaumsklerosierung: V. saphena parva
7270;5-385.fb;Entfernung und Verschluss von Varizen: Duplexsonographische Schaumsklerosierung: V(v). saphena(e) accessoria(e)
7271;5-385.fc;Entfernung und Verschluss von Varizen: Duplexsonographische Schaumsklerosierung: Vv. perforantes
7272;5-385.fd;Entfernung und Verschluss von Varizen: Duplexsonographische Schaumsklerosierung: Seitenastvene
7273;5-385.fx;Entfernung und Verschluss von Varizen: Duplexsonographische Schaumsklerosierung: Sonstige
7274;5-385.g;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]
7275;5-385.g0;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]: V. saphena magna
7276;5-385.g4;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]: Vv. saphenae magna et parva
7277;5-385.g8;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]: Vv. saphenae magna et accessoria(e)
7278;5-385.g9;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]: Vv. saphenae magna et accessoria(e) et parva
7279;5-385.ga;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]: V. saphena parva
7280;5-385.gb;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]: V(v). saphena(e) accessoria(e)
7281;5-385.gc;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]: Vv. perforantes
7282;5-385.gx;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]: Sonstige
7283;5-385.h;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]
7284;5-385.h0;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]
7285;5-385.h4;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]
7286;5-385.h8;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]
7287;5-385.h9;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]
7288;5-385.ha;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]
7289;5-385.hb;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]
7290;5-385.hx;Entfernung und Verschluss von Varizen: Endovenöse Lasertherapie [EVLT]
7291;5-385.j;Entfernung und Verschluss von Varizen: Endoluminale Radiofrequenzablation
7292;5-385.j0;Entfernung und Verschluss von Varizen: Endoluminale Radiofrequenzablation
7293;5-385.j4;Entfernung und Verschluss von Varizen: Endoluminale Radiofrequenzablation
7294;5-385.j8;Entfernung und Verschluss von Varizen: Endoluminale Radiofrequenzablation
7295;5-385.j9;Entfernung und Verschluss von Varizen: Endoluminale Radiofrequenzablation
7296;5-385.ja;Entfernung und Verschluss von Varizen: Endoluminale Radiofrequenzablation
7297;5-385.jb;Entfernung und Verschluss von Varizen: Endoluminale Radiofrequenzablation
7298;5-385.jx;Entfernung und Verschluss von Varizen: Endoluminale Radiofrequenzablation
7299;5-385.k;Entfernung und Verschluss von Varizen: Rezidivcrossektomie und Exhairese
7300;5-385.k0;Entfernung und Verschluss von Varizen: Rezidivcrossektomie und Exhairese: V. saphena magna
7301;5-385.k4;Entfernung und Verschluss von Varizen: Rezidivcrossektomie und Exhairese: Vv. saphenae magna et parva
7302;5-385.k8;Entfernung und Verschluss von Varizen: Rezidivcrossektomie und Exhairese: Vv. saphenae magna et accessoria(e)
7303;5-385.k9;Entfernung und Verschluss von Varizen: Rezidivcrossektomie und Exhairese: Vv. saphenae magna et accessoria(e) et parva
7304;5-385.ka;Entfernung und Verschluss von Varizen: Rezidivcrossektomie und Exhairese: V. saphena parva
7305;5-385.kb;Entfernung und Verschluss von Varizen: Rezidivcrossektomie und Exhairese: V(v). saphena(e) accessoria(e)
7306;5-385.kx;Entfernung und Verschluss von Varizen: Rezidivcrossektomie und Exhairese: Sonstige
7307;5-385.x;Entfernung und Verschluss von Varizen: Sonstige
7308;5-385.x0;Entfernung und Verschluss von Varizen: Sonstige: V. saphena magna
7309;5-385.x4;Entfernung und Verschluss von Varizen: Sonstige: Vv. saphenae magna et parva
7310;5-385.x8;Entfernung und Verschluss von Varizen: Sonstige: Vv. saphenae magna et accessoria(e)
7311;5-385.x9;Entfernung und Verschluss von Varizen: Sonstige: Vv. saphenae magna et accessoria(e) et parva
7312;5-385.xa;Entfernung und Verschluss von Varizen: Sonstige: V. saphena parva
7313;5-385.xb;Entfernung und Verschluss von Varizen: Sonstige: V(v). saphena(e) accessoria(e)
7314;5-385.xc;Entfernung und Verschluss von Varizen: Sonstige: Vv. perforantes
7315;5-385.xd;Entfernung und Verschluss von Varizen: Sonstige: Seitenastvene
7316;5-385.xx;Entfernung und Verschluss von Varizen: Sonstige: Sonstige
7317;5-385.y;Entfernung und Verschluss von Varizen: N.n.bez.
7318;5-386;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme
7319;5-386.0;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Kopf
7320;5-386.00;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Kopf
7321;5-386.01;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Kopf
7322;5-386.02;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Kopf
7323;5-386.03;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Kopf
7324;5-386.04;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Kopf
7325;5-386.05;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Kopf
7326;5-386.0x;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Kopf
7327;5-386.1;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Schulter und Oberarm
7328;5-386.11;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Schulter und Oberarm: A. axillaris
7329;5-386.12;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Schulter und Oberarm: A. brachialis
7330;5-386.1x;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Schulter und Oberarm: Sonstige
7331;5-386.2;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterarm und Hand
7332;5-386.20;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterarm und Hand: A. ulnaris
7333;5-386.21;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterarm und Hand: Arcus palmaris profundus
7334;5-386.22;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterarm und Hand: Arcus palmaris superficialis
7335;5-386.23;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterarm und Hand: Aa. digitales palmares communes
7336;5-386.24;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterarm und Hand: A. radialis
7337;5-386.25;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterarm und Hand: R. carpalis palmaris
7338;5-386.26;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterarm und Hand: R. carpalis dorsalis
7339;5-386.27;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterarm und Hand: A. princeps pollicis
7340;5-386.2x;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterarm und Hand: Sonstige
7341;5-386.3;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Aorta
7342;5-386.30;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Aorta: Aorta ascendens
7343;5-386.31;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Aorta: Arcus aortae
7344;5-386.32;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Aorta: Aorta thoracica
7345;5-386.33;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Aorta: Aorta abdominalis
7346;5-386.34;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Aorta: Aorta
7347;5-386.3x;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Aorta: Sonstige
7348;5-386.4;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien thorakal
7349;5-386.40;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien thorakal: A. subclavia
7350;5-386.41;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien thorakal: Truncus brachiocephalicus
7351;5-386.42;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien thorakal: A. pulmonalis
7352;5-386.4x;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien thorakal: Sonstige
7353;5-386.5;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien abdominal und pelvin
7354;5-386.51;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien abdominal und pelvin: Aa. lumbales
7355;5-386.52;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien abdominal und pelvin: A. iliaca n.n.bez.
7356;5-386.53;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien abdominal und pelvin: A. iliaca communis
7357;5-386.54;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien abdominal und pelvin: A. iliaca externa
7358;5-386.55;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien abdominal und pelvin: A. iliaca interna
7359;5-386.5x;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien abdominal und pelvin: Sonstige
7360;5-386.6;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien viszeral
7361;5-386.60;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien viszeral: Truncus coeliacus
7362;5-386.61;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien viszeral: A. hepatica
7363;5-386.62;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien viszeral: A. gastrica
7364;5-386.63;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien viszeral: A. lienalis
7365;5-386.64;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien viszeral: A. renalis
7366;5-386.65;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien viszeral: A. mesenterica superior
7367;5-386.66;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien viszeral: A. mesenterica inferior
7368;5-386.6x;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien viszeral: Sonstige
7369;5-386.7;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Oberschenkel
7370;5-386.70;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Oberschenkel: A. femoralis
7371;5-386.71;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Oberschenkel: A. profunda femoris
7372;5-386.72;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Oberschenkel: A. poplitea
7373;5-386.7x;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Oberschenkel: Sonstige
7374;5-386.8;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterschenkel und Fuß
7375;5-386.80;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterschenkel und Fuß: A. tibialis anterior
7376;5-386.81;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterschenkel und Fuß: Aa. recurrentes
7377;5-386.82;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterschenkel und Fuß: A. dorsalis pedis
7378;5-386.83;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterschenkel und Fuß: A. tibialis posterior
7379;5-386.84;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterschenkel und Fuß: A. fibularis
7380;5-386.85;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterschenkel und Fuß: A. plantaris medialis
7381;5-386.86;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterschenkel und Fuß: A. plantaris lateralis
7382;5-386.8x;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Arterien Unterschenkel und Fuß: Sonstige
7383;5-386.9;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen
7384;5-386.91;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. jugularis
7385;5-386.92;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. pulmonalis
7386;5-386.93;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. subclavia
7387;5-386.94;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. axillaris
7388;5-386.95;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. brachiocephalica
7389;5-386.96;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. cava superior
7390;5-386.97;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. cava inferior
7391;5-386.98;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. iliaca communis
7392;5-386.99;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. iliaca externa
7393;5-386.9a;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. iliaca interna
7394;5-386.9b;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. femoralis
7395;5-386.9c;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. poplitea
7396;5-386.9d;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. portae
7397;5-386.9e;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. gastrica
7398;5-386.9f;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. lienalis
7399;5-386.9g;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. mesenterica superior
7400;5-386.9h;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. mesenterica inferior
7401;5-386.9j;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: Vv. hepaticae
7402;5-386.9k;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: V. renalis
7403;5-386.9x;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Tiefe Venen: Sonstige
7404;5-386.a;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Oberflächliche Venen
7405;5-386.a0;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Oberflächliche Venen: Kopf
7406;5-386.a1;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Oberflächliche Venen: Schulter und Oberarm
7407;5-386.a2;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Oberflächliche Venen: Unterarm und Hand
7408;5-386.a3;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Oberflächliche Venen: Thorakal
7409;5-386.a4;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Oberflächliche Venen: Abdominal
7410;5-386.a5;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Oberflächliche Venen: Oberschenkel
7411;5-386.a6;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Oberflächliche Venen: Unterschenkel und Fuß
7412;5-386.ax;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Oberflächliche Venen: Sonstige
7413;5-386.x;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: Sonstige
7414;5-386.y;Andere Exzision von (erkrankten) Blutgefäßen und Transplantatentnahme: N.n.bez.
7415;5-387;Ligatur und Teilverschluss der Vena cava
7416;5-387.0;Ligatur und Teilverschluss der Vena cava: Ligatur
7417;5-387.1;Ligatur und Teilverschluss der Vena cava: Clippen
7418;5-387.2;Ligatur und Teilverschluss der Vena cava: Einführung eines Antiembolie-Schirmes
7419;5-387.x;Ligatur und Teilverschluss der Vena cava: Sonstige
7420;5-387.y;Ligatur und Teilverschluss der Vena cava: N.n.bez.
7421;5-388;Naht von Blutgefäßen
7422;5-388.0;Naht von Blutgefäßen: Arterien Kopf
7423;5-388.00;Naht von Blutgefäßen: Arterien Kopf
7424;5-388.01;Naht von Blutgefäßen: Arterien Kopf
7425;5-388.02;Naht von Blutgefäßen: Arterien Kopf
7426;5-388.03;Naht von Blutgefäßen: Arterien Kopf
7427;5-388.04;Naht von Blutgefäßen: Arterien Kopf
7428;5-388.05;Naht von Blutgefäßen: Arterien Kopf
7429;5-388.0x;Naht von Blutgefäßen: Arterien Kopf
7430;5-388.1;Naht von Blutgefäßen: Arterien Schulter und Oberarm
7431;5-388.11;Naht von Blutgefäßen: Arterien Schulter und Oberarm: A. axillaris
7432;5-388.12;Naht von Blutgefäßen: Arterien Schulter und Oberarm: A. brachialis
7433;5-388.1x;Naht von Blutgefäßen: Arterien Schulter und Oberarm: Sonstige
7434;5-388.2;Naht von Blutgefäßen: Arterien Unterarm und Hand
7435;5-388.20;Naht von Blutgefäßen: Arterien Unterarm und Hand: A. ulnaris
7436;5-388.21;Naht von Blutgefäßen: Arterien Unterarm und Hand: Arcus palmaris profundus
7437;5-388.22;Naht von Blutgefäßen: Arterien Unterarm und Hand: Arcus palmaris superficialis
7438;5-388.23;Naht von Blutgefäßen: Arterien Unterarm und Hand: Aa. digitales palmares communes
7439;5-388.24;Naht von Blutgefäßen: Arterien Unterarm und Hand: A. radialis
7440;5-388.2x;Naht von Blutgefäßen: Arterien Unterarm und Hand: Sonstige
7441;5-388.3;Naht von Blutgefäßen: Aorta
7442;5-388.30;Naht von Blutgefäßen: Aorta: Aorta ascendens
7443;5-388.31;Naht von Blutgefäßen: Aorta: Arcus aortae
7444;5-388.32;Naht von Blutgefäßen: Aorta: Aorta thoracica
7445;5-388.33;Naht von Blutgefäßen: Aorta: Aorta abdominalis
7446;5-388.3x;Naht von Blutgefäßen: Aorta: Sonstige
7447;5-388.4;Naht von Blutgefäßen: Arterien thorakal
7448;5-388.40;Naht von Blutgefäßen: Arterien thorakal: A. subclavia
7449;5-388.41;Naht von Blutgefäßen: Arterien thorakal: Truncus brachiocephalicus
7450;5-388.42;Naht von Blutgefäßen: Arterien thorakal: A. pulmonalis
7451;5-388.4x;Naht von Blutgefäßen: Arterien thorakal: Sonstige
7452;5-388.5;Naht von Blutgefäßen: Arterien abdominal und pelvin
7453;5-388.51;Naht von Blutgefäßen: Arterien abdominal und pelvin: Aa. lumbales
7454;5-388.52;Naht von Blutgefäßen: Arterien abdominal und pelvin: A. iliaca n.n.bez.
7455;5-388.53;Naht von Blutgefäßen: Arterien abdominal und pelvin: A. iliaca communis
7456;5-388.54;Naht von Blutgefäßen: Arterien abdominal und pelvin: A. iliaca externa
7457;5-388.55;Naht von Blutgefäßen: Arterien abdominal und pelvin: A. iliaca interna
7458;5-388.5x;Naht von Blutgefäßen: Arterien abdominal und pelvin: Sonstige
7459;5-388.6;Naht von Blutgefäßen: Arterien viszeral
7460;5-388.60;Naht von Blutgefäßen: Arterien viszeral: Truncus coeliacus
7461;5-388.61;Naht von Blutgefäßen: Arterien viszeral: A. hepatica
7462;5-388.62;Naht von Blutgefäßen: Arterien viszeral: A. gastrica
7463;5-388.63;Naht von Blutgefäßen: Arterien viszeral: A. lienalis
7464;5-388.64;Naht von Blutgefäßen: Arterien viszeral: A. renalis
7465;5-388.65;Naht von Blutgefäßen: Arterien viszeral: A. mesenterica superior
7466;5-388.66;Naht von Blutgefäßen: Arterien viszeral: A. mesenterica inferior
7467;5-388.6x;Naht von Blutgefäßen: Arterien viszeral: Sonstige
7468;5-388.7;Naht von Blutgefäßen: Arterien Oberschenkel
7469;5-388.70;Naht von Blutgefäßen: Arterien Oberschenkel: A. femoralis
7470;5-388.71;Naht von Blutgefäßen: Arterien Oberschenkel: A. profunda femoris
7471;5-388.72;Naht von Blutgefäßen: Arterien Oberschenkel: A. poplitea
7472;5-388.7x;Naht von Blutgefäßen: Arterien Oberschenkel: Sonstige
7473;5-388.8;Naht von Blutgefäßen: Arterien Unterschenkel und Fuß
7474;5-388.80;Naht von Blutgefäßen: Arterien Unterschenkel und Fuß: A. tibialis anterior
7475;5-388.82;Naht von Blutgefäßen: Arterien Unterschenkel und Fuß: A. dorsalis pedis
7476;5-388.83;Naht von Blutgefäßen: Arterien Unterschenkel und Fuß: A. tibialis posterior
7477;5-388.84;Naht von Blutgefäßen: Arterien Unterschenkel und Fuß: A. fibularis
7478;5-388.8x;Naht von Blutgefäßen: Arterien Unterschenkel und Fuß: Sonstige
7479;5-388.9;Naht von Blutgefäßen: Tiefe Venen
7480;5-388.91;Naht von Blutgefäßen: Tiefe Venen: V. jugularis
7481;5-388.92;Naht von Blutgefäßen: Tiefe Venen: V. pulmonalis
7482;5-388.93;Naht von Blutgefäßen: Tiefe Venen: V. subclavia
7483;5-388.94;Naht von Blutgefäßen: Tiefe Venen: V. axillaris
7484;5-388.95;Naht von Blutgefäßen: Tiefe Venen: V. brachiocephalica
7485;5-388.96;Naht von Blutgefäßen: Tiefe Venen: V. cava superior
7486;5-388.97;Naht von Blutgefäßen: Tiefe Venen: V. cava inferior
7487;5-388.98;Naht von Blutgefäßen: Tiefe Venen: V. iliaca communis
7488;5-388.99;Naht von Blutgefäßen: Tiefe Venen: V. iliaca externa
7489;5-388.9a;Naht von Blutgefäßen: Tiefe Venen: V. iliaca interna
7490;5-388.9b;Naht von Blutgefäßen: Tiefe Venen: V. femoralis
7491;5-388.9c;Naht von Blutgefäßen: Tiefe Venen: V. poplitea
7492;5-388.9d;Naht von Blutgefäßen: Tiefe Venen: V. portae
7493;5-388.9e;Naht von Blutgefäßen: Tiefe Venen: V. gastrica
7494;5-388.9f;Naht von Blutgefäßen: Tiefe Venen: V. lienalis
7495;5-388.9g;Naht von Blutgefäßen: Tiefe Venen: V. mesenterica superior
7496;5-388.9h;Naht von Blutgefäßen: Tiefe Venen: V. mesenterica inferior
7497;5-388.9j;Naht von Blutgefäßen: Tiefe Venen: Vv. hepaticae
7498;5-388.9k;Naht von Blutgefäßen: Tiefe Venen: V. renalis
7499;5-388.9x;Naht von Blutgefäßen: Tiefe Venen: Sonstige
7500;5-388.a;Naht von Blutgefäßen: Oberflächliche Venen
7501;5-388.a0;Naht von Blutgefäßen: Oberflächliche Venen: Kopf
7502;5-388.a1;Naht von Blutgefäßen: Oberflächliche Venen: Schulter und Oberarm
7503;5-388.a2;Naht von Blutgefäßen: Oberflächliche Venen: Unterarm und Hand
7504;5-388.a4;Naht von Blutgefäßen: Oberflächliche Venen: Abdominal
7505;5-388.a5;Naht von Blutgefäßen: Oberflächliche Venen: Oberschenkel
7506;5-388.a6;Naht von Blutgefäßen: Oberflächliche Venen: Unterschenkel und Fuß
